id,has_fork
1.jpg, 1
2.jpg, 1
3.jpg, 1
4.jpg, 0
5.jpg, 0
6.jpg, 0
7.jpg, 0
8.jpg, 0
9.jpg, 1
10.jpg, 1
11.jpg, 1
12.jpg, 0
13.jpg, 1
14.jpg, 1
15.jpg, 1
16.jpg, 1
17.jpg, 0
18.jpg, 1
19.jpg, 1
20.jpg, 1
21.jpg, 0
22.jpg, 0
23.jpg, 0
28.jpg, 1
29.jpg, 1
30.jpg, 1
31.jpg, 1
32.jpg, 1
33.jpg, 1
34.jpg, 1
35.jpg, 1
36.jpg, 1
37.jpg, 1
38.jpg, 1
39.jpg, 1
40.jpg, 1
41.jpg, 1
42.jpg, 1
43.jpg, 1
44.jpg, 1
45.jpg, 1
46.jpg, 1
47.jpg, 1
48.jpg, 1
49.jpg, 1
50.jpg, 1
28.jpg, 1
29.jpg, 1
30.jpg, 1
31.jpg, 1
32.jpg, 1
33.jpg, 1
34.jpg, 1
35.jpg, 1
36.jpg, 1
37.jpg, 1
38.jpg, 1
39.jpg, 1
40.jpg, 1
41.jpg, 1
42.jpg, 1
43.jpg, 1
44.jpg, 1
45.jpg, 1
46.jpg, 1
47.jpg, 1
48.jpg, 1
49.jpg, 1
50.jpg, 1
51.jpg, 0
52.jpg, 0
53.jpg, 0
54.jpg, 0
55.jpg, 0
56.jpg, 0
57.jpg, 0
58.jpg, 0
59.jpg, 0
60.jpg, 0
61.jpg, 0
62.jpg, 0
63.jpg, 0
64.jpg, 0
65.jpg, 0
66.jpg, 0
67.jpg, 0
68.jpg, 0
69.jpg, 0
70.jpg, 0
71.jpg, 0
72.jpg, 0
73.jpg, 0
74.jpg, 0
75.jpg, 0
76.jpg, 0
77.jpg, 0
78.jpg, 0
79.jpg, 0
80.jpg, 0
81.jpg, 1
82.jpg, 1
83.jpg, 1
84.jpg, 1
85.jpg, 1
86.jpg, 1
87.jpg, 1
88.jpg, 1
89.jpg, 1
90.jpg, 1
91.jpg, 1
92.jpg, 1
93.jpg, 1
94.jpg, 1
95.jpg, 1
96.jpg, 1
97.jpg, 1
98.jpg, 1
99.jpg, 1
100.jpg, 1
